   1    0    1  n      0.0      0.0  
  27   18   45 Ar   8419.952    0.011
  26   19   45 K    8554.674    0.012
  25   20   45 Ca   8630.545    0.008
  24   21   45 Sc   8618.931    0.015
  23   22   45 Ti   8555.722    0.019
  22   23   45 V    8380.029    0.019
  21   24   45 Cr   8087.728    0.787
  20   25   45 Mn   7753       1000       9       1000   
  19   26   45 Fe   7313       1000       9       1000   
  31   15   46 P    7317       1000      15       1000   
  30   16   46 S    7792       1000      11       1000   
  29   17   46 Cl   8083.480    4.536
  28   18   46 Ar   8412.419    0.024
  27   19   46 K    8518.042    0.016
  26   20   46 Ca   8668.979    0.049
  25   21   46 Sc   8622.012    0.015
  24   22   46 Ti   8656.451    0.004
  23   23   46 V    8486.130    0.004
  22   24   46 Cr   8303.823    0.249
  21   25   46 Mn   7919       1000       9       1000   
  20   26   46 Fe   7609       1000      11       1000   
  32   15   47 P    7190       1000      17       1000   
  31   16   47 S    7648       1000      11       1000   
  30   17   47 Cl   7996       1000       9       1000   
  29   18   47 Ar   8311.404    0.024
  28   19   47 K    8514.879    0.030
  27   20   47 Ca   8639.349    0.047
  26   21   47 Sc   8665.090    0.041
  25   22   47 Ti   8661.227    0.002
  24   23   47 V    8582.225    0.004
  23   24   47 Cr   8407.195    0.128
  22   25   47 Mn   8135.311    0.674
  21   26   47 Fe   7785       1000      11       1000   
  20   27   47 Co   7401       1000      13       1000   
  32   16   48 S    7545       1000      12       1000   
  31   17   48 Cl   7883       1000      10       1000   
  30   18   48 Ar   8242.132    6.404
  29   19   48 K    8434.232    0.016
  28   20   48 Ca   8666.686    0.002
  27   21   48 Sc   8656.204    0.103
  26   22   48 Ti   8723.006    0.002
  25   23   48 V    8623.061    0.020
  24   24   48 Cr   8572.269    0.153
  23   25   48 Mn   8274.185    0.145
  22   26   48 Fe   8023       1000       8       1000   
  21   27   48 Co   7600       1000      10       1000   
  20   28   48 Ni   7265       1000      10       1000   
  33   16   49 S    7385       1000      14       1000   
  32   17   49 Cl   7781       1000      12       1000   
  31   18   49 Ar   8135       1000       8       1000   
  30   19   49 K    8372.274    0.016
  29   20   49 Ca   8594.844    0.004
  28   21   49 Sc   8686.256    0.055
  27   22   49 Ti   8711.157    0.002
